head,exact_importance_40,estimated_importance_40,absolute_error_40
L0H0,0.0007732391357421875,-5.653697553498205e-06,0.0007788928332956857
L0H1,0.009851646423339844,0.033848098712041974,0.02399645228870213
L0H2,0.003145599365234375,0.0017024346147081816,0.0014431647505261935
L0H3,0.00067596435546875,0.00026434463743498784,0.0004116197180337621
L0H4,0.005298233032226563,0.005126330978237092,0.0001719020539894707
L0H5,0.00231475830078125,0.0007927117534563876,0.001522046547324862
L0H6,0.0022806167602539063,0.0021533737643039787,0.00012724299594992763
L0H7,-0.14249582290649415,-0.022340311895823105,0.12015551101067104
L0H8,-0.0002902984619140625,-3.511808371285952e-05,0.000255180378201203
L0H9,-0.00059814453125,-0.0005295562790706754,6.858825217932469e-05
L0H10,0.0013822555541992188,0.0010809185878315475,0.00030133696636767135
L0H11,-0.0011247634887695313,-6.351271504172473e-05,0.0010612507737278066
L0H12,0.0032102584838867186,0.0020842865749727936,0.001125971908913925
L0H13,-0.0002227783203125,-0.001547959899471607,0.001325181579159107
L0H14,0.010683822631835937,0.0035994152902276257,0.007084407341608311
L0H15,-0.0021396636962890624,-0.0057774202432483435,0.003637756546959281
L0H16,0.01354389190673828,0.010821892833337187,0.0027219990734010935
L0H17,0.000446319580078125,0.0001462063928556745,0.0003001131872224505
L0H18,-0.0007869720458984375,3.7355363019742072e-06,0.0007907075822004118
L0H19,-0.0006803512573242187,-7.57097453060851e-05,0.0006046415120181337
L0H20,0.00020008087158203126,-0.00020623311429517343,0.0004063139858772047
L0H21,-0.0013200759887695313,-0.00011520651169121266,0.0012048694770783186
L0H22,0.007736587524414062,0.002585843834094703,0.005150743690319359
L0H23,-0.0018972396850585938,-2.8836779893026688e-05,0.0018684029051655672
L0H24,0.07824516296386719,0.011229922459460796,0.0670152405044064
L0H25,-0.0004991531372070312,2.9263837677717675e-05,0.0005284169748847489
L0H26,-0.00041251182556152345,0.0235272953636013,0.02393980718916282
L0H27,-0.0002501487731933594,-0.008657579487771728,0.00840743071457837
L0H28,-0.0014226913452148437,-0.0002437998351524584,0.0011788915100623854
L0H29,0.0003314971923828125,0.0017564096495334524,0.0014249124571506398
L0H30,-0.00010204315185546875,-0.0004888980743999128,0.000386854922544444
L0H31,-0.00097808837890625,5.2447211965045425e-05,0.0010305355908712954
L1H0,0.0036397933959960937,0.002210571510659065,0.0014292218853370286
L1H1,0.08409900665283203,0.08004230614751577,0.0040567005053162575
L1H2,0.0005199432373046875,0.002606486815784592,0.0020865435784799043
L1H3,-0.0002288818359375,-0.0003589327709050849,0.0001300509349675849
L1H4,-0.005389022827148438,-0.012143842877412681,0.006754820050264243
L1H5,-0.0009511947631835937,0.0003309869622171391,0.0012821817254007328
L1H6,0.0021762847900390625,0.0036799226480070503,0.0015036378579679878
L1H7,0.0014436721801757812,0.0012009207435767165,0.00024275143659906466
L1H8,0.005274367332458496,0.006684113526716828,0.0014097461942583324
L1H9,0.0071380615234375,0.004929636637098156,0.0022084248863393444
L1H10,-0.00260014533996582,-0.009146436559967696,0.006546291220001876
L1H11,-0.003994369506835937,-0.010088851139880717,0.00609448163304478
L1H12,0.009549331665039063,-0.017793627409264445,0.027342959074303508
L1H13,0.034194564819335936,0.008617511042393744,0.025577053776942194
L1H14,0.0013063430786132812,-0.0003648580517619848,0.001671201130375266
L1H15,2.899169921875e-05,0.00106890486786142,0.0010399131686426699
L1H16,0.022988414764404295,0.004510276659857482,0.018478138104546814
L1H17,0.007696914672851563,-0.0007088776677846908,0.008405792340636254
L1H18,-0.00036449432373046874,-0.013514526025392114,0.013150031701661645
L1H19,-0.02365264892578125,-0.025737509480677545,0.0020848605548962965
L1H20,0.0011941909790039063,0.001594204464345239,0.0004000134853413327
L1H21,0.004691505432128906,0.004665904318972025,2.5601113156880663e-05
L1H22,-0.021665191650390624,-0.02029801905155182,0.0013671725988388048
L1H23,-0.0018610000610351563,-0.0032074139278847726,0.0013464138668496163
L1H24,0.06355323791503906,0.11686978382058441,0.053316545905545354
L1H25,0.28951225280761717,0.1359423548914492,0.15356989791616796
L1H26,-0.0035785675048828126,-0.006722517806338146,0.0031439503014553337
L1H27,0.02895050048828125,0.019256548793055116,0.009693951695226133
L1H28,0.0009008407592773438,0.00043722151458496227,0.0004636192446923815
L1H29,0.0018306732177734374,0.0009549226830131375,0.0008757505347603
L1H30,0.00640716552734375,0.0018249669345095753,0.004582198592834174
L1H31,-0.000957489013671875,-0.028855710456264207,0.02789822144259233
L2H0,0.0032329559326171875,0.003329181662411429,9.622572979424166e-05
L2H1,-0.02518291473388672,-0.039650481287389995,0.014467566553503276
L2H2,-0.0010141372680664063,-0.0008173164424079005,0.00019682082565850587
L2H3,-0.0018545150756835937,-0.008085564733482898,0.0062310496577993035
L2H4,-0.0007814407348632812,0.0004934360807965277,0.0012748768156598089
L2H5,-0.016825103759765626,-0.015499757375800982,0.0013253463839646446
L2H6,0.005806922912597656,-0.0014199507524608635,0.0072268736650585195
L2H7,0.0075225830078125,0.005694485548883676,0.0018280974589288236
L2H8,-0.03610858917236328,-0.049166749231517315,0.013058160059154035
L2H9,0.0002056121826171875,0.0003768502108869143,0.0001712380282697268
L2H10,-0.0012121200561523438,-0.0007961521376273594,0.0004159679185249843
L2H11,-0.0010816574096679688,0.0004983107501175255,0.0015799681597854943
L2H12,-0.0015943527221679687,-0.0006213554835994728,0.0009729972385684959
L2H13,-0.0017644882202148438,-0.0057183745549991725,0.003953886334784329
L2H14,-0.00147857666015625,0.00037187740235822275,0.0018504540625144728
L2H15,0.0012451171875,-0.018967886478640138,0.020213003666140136
L2H16,0.004594230651855468,-0.014771436620503665,0.01936566727235913
L2H17,-0.00025539398193359376,-0.0012383220848278143,0.0009829281028942206
L2H18,0.0052010536193847655,0.004738266044296324,0.00046278757508844137
L2H19,-0.0011457443237304688,-0.0004889867228484946,0.0006567576008819743
L2H20,-0.00044345855712890625,0.0006674526215647347,0.001110911178693641
L2H21,-0.006174659729003907,-0.00789823358063586,0.0017235738516319533
L2H22,-0.005842399597167969,-0.0007899737451225519,0.005052425852045417
L2H23,-0.0034162521362304686,-0.004840778635116294,0.0014245264988858256
L2H24,0.02020435333251953,0.01684966206084937,0.003354691271670162
L2H25,-0.0004184722900390625,0.00016036361048463733,0.0005788359005236999
L2H26,-0.0018499374389648437,-0.0012449490459403023,0.0006049883930245414
L2H27,0.001858997344970703,0.0010235769310384057,0.0008354204139322974
L2H28,-0.0024654388427734373,-0.0013468963952618651,0.0011185424475115722
L2H29,0.00446319580078125,-0.0015760915237478911,0.006039287324529141
L2H30,0.0036195755004882813,0.0011112589651020243,0.002508316535386257
L2H31,0.0034952163696289062,0.001348814965240308,0.002146401404388598
L3H0,-0.0034759521484375,-0.0048426527006085966,0.0013667005521710964
L3H1,-0.002513694763183594,-0.0022228790920053145,0.00029081567117827944
L3H2,-0.00023102760314941406,-0.006165200477698818,0.005934172874549404
L3H3,-0.0006166458129882813,-0.0007535126758739352,0.0001368668628856539
L3H4,-0.011663055419921875,-0.013699199201073497,0.0020361437811516215
L3H5,-0.007498741149902344,-0.007049615524010733,0.000449125625891611
L3H6,0.00279998779296875,0.0022880872740643097,0.0005119005189044403
