head,groups,stage2_P,stage3_F,F_family_sd,F_positive_family_fraction,F_promotion,F_suppression,P_common40,F_common40,routing_importance,value_importance,AV_interaction_importance,position_comparisons,contextual_RI_status,reverse_P_recovery,reverse_F_recovery
L0H1,random-controls,0.07954119028670065,-0.00010879388016261411,0.003190140127067794,0.4943820224719101,-0.00025237008426966294,0.0001435802223977078,0.009851646423339844,-0.000850677490234375,-0.00030274337597107617,-0.00040647956762420996,0.00044724110806925913,1724,insufficient support: zero saved scored events,,
L1H27,RI-selected_small-effect,0.021794962079337475,-0.00030800465787394663,0.0035803667931281285,0.4157303370786517,-0.00033603625351123594,2.8034944212838504e-05,0.02895050048828125,-0.0012865066528320312,0.00019262613875142644,0.0001889025227407391,-0.000514110822356149,1724,completed; eligibility varies by metric (see support table),,
L2H1,random-controls,-0.008900990646876645,-0.00021277920583660684,0.0035869124789465277,0.48314606741573035,-0.00043341818820224717,0.00022064400522896414,-0.02518291473388672,-0.0019590377807617186,-0.0006272310621283027,-0.0006686542811018697,0.0013391730490695225,1724,insufficient support: zero saved scored events,,
L2H21,RI-selected_small-effect,-0.0013823080598638299,-0.0006906852293550299,0.0033337371330451155,0.4044943820224719,-0.0007447660639044943,5.4086192270343225e-05,-0.006174659729003907,-0.0009172439575195312,-0.0005171432923734857,-0.00036377049563975815,0.00017506620857153047,1724,completed; eligibility varies by metric (see support table),,
L2H22,RI-selected_small-effect,-0.00039165743281332295,-3.3705422047818646e-05,0.003396116658193501,0.4943820224719101,-0.00034357992450842695,0.000309875841890828,-0.005842399597167969,-0.001311492919921875,-0.0005849157826284345,-3.8329135166125354e-05,0.00023561916994244866,1724,completed; eligibility varies by metric (see support table),,
L3H11,RI-selected_small-effect,-0.0022394094574317504,-0.0006270087167118372,0.0043848548405029065,0.48314606741573035,-0.0005678326896067416,-5.917066938421699e-05,0.007417869567871094,-0.0013067245483398438,-0.00036413214179906953,-0.0008194553718138277,0.0002954863430408949,1724,insufficient matched support: see contextual_ri.csv,,
L4H0,RI-selected_small-effect,0.0010287949208463176,-0.0004289016295015142,0.0032854863427584594,0.39325842696629215,-0.0003463230775983146,-8.25745336125406e-05,-0.0028005599975585937,-0.0009138107299804688,-0.0003393419672933857,-0.0012162776475542047,0.0012610360477747543,1724,completed; eligibility varies by metric (see support table),,
L5H18,RI-selected_small-effect,-0.005606683452477616,-0.0006118838706713044,0.003361711517027664,0.4157303370786517,-0.0009120984023876404,0.0003002158711465557,-0.012072181701660157,-0.0013280868530273437,-2.404009358266766e-05,0.00027691380361492715,-0.0002210970675007681,1724,completed; eligibility varies by metric (see support table),,
L6H2,RI-selected_small-effect,-0.003942350323280591,-0.00010490953252556619,0.0033299416992057774,0.5393258426966292,-0.00021465172928370786,0.0001097462150488007,-0.007234382629394531,-0.00132598876953125,-0.0006092103679528397,-0.0004994896020782128,0.0012282843000433418,1724,completed; eligibility varies by metric (see support table),,
L6H12,random-controls,0.0004296892144706812,-0.00046906310520815044,0.0029565821559963098,0.4044943820224719,-0.00032094891151685396,-0.0001481101754006375,-0.0039612770080566405,-0.0014142990112304688,-0.00022394201728735078,-0.0003648393609550562,4.586209072155899e-06,1724,insufficient support: zero saved scored events,,
L6H24,moderate-effect_supplement,0.10134880730275357,-0.0004334744442714734,0.003460395882588649,0.4044943820224719,-0.0005740047840589888,0.00014053435807817436,0.011005997657775879,-0.0010831832885742187,-0.00014092948999297754,-0.0001203049434704727,-8.663434660836552e-06,1724,completed; eligibility varies by metric (see support table),,
L7H1,moderate-effect_supplement,0.23759243461523163,-0.0002562383587440748,0.0034430288098021952,0.4606741573033708,-0.00017007549157303372,-8.615483058972305e-05,0.25744152069091797,-0.0011241912841796875,0.0002786657783422577,3.7991598750768085e-05,-7.64118151718311e-05,1724,completed; eligibility varies by metric (see support table),,
L7H18,RI-selected_small-effect,-0.0011905766604991441,-0.0001279155859786473,0.003884901800848727,0.4606741573033708,-0.00021945224719101123,9.154335836346229e-05,-0.013592815399169922,-0.0009395599365234375,-0.0002782559126950382,-0.00025480784726946543,0.00010046530305669548,1724,completed; eligibility varies by metric (see support table),,
